iter	RMSE
0	230.9088047
1	220.3744985
2	210.515418
3	201.4509365
4	192.9015081
5	184.6807823
6	176.7336335
7	169.3307774
8	162.4922221
9	156.1878259
10	150.1286077
11	144.2956462
12	138.9475828
13	133.8761906
14	129.1565339
15	124.6373527
16	120.4375861
17	116.3582883
18	112.6170768
19	109.1949399
20	105.7201235
21	102.7625795
22	99.93966976
23	97.21572677
24	94.71301185
25	92.24183184
26	90.07395658
27	87.93110388
28	86.04498469
29	84.23569342
30	82.52352821
31	80.91841361
32	79.53861866
33	78.17550877
34	76.762854
35	75.70348778
36	74.6553949
37	73.60787513
38	72.46739603
39	71.34271666
40	70.35344429
41	69.49709578
42	68.59831894
43	67.71937464
44	67.00953758
45	66.33793367
46	65.67610967
47	65.13283231
48	64.44225954
49	63.95651006
50	63.53216422
51	63.01465691
52	62.49776253
53	61.96429231
54	61.54689461
55	61.16850053
56	60.83175198
57	60.5654866
58	60.24104873
59	60.02013771
60	59.78836305
61	59.5605174
62	59.32373422
63	59.1041378
64	58.918599
65	58.69991528
66	58.49985669
67	58.32850646
68	58.13633267
69	57.98866119
70	57.74769606
71	57.62273447
72	57.49436457
73	57.34565939
74	57.19169238
75	57.00138579
76	56.8979727
77	56.83176113
78	56.70723846
79	56.64050313
80	56.51964156
81	56.37474384
82	56.26871985
83	56.18126393
84	56.06730898
85	55.97040821
86	55.86511669
87	55.77520632
88	55.68675763
89	55.47823748
90	55.3752251
91	55.29999529
92	55.22278971
93	55.18157537
94	55.15004148
95	55.02028293
96	54.9092702
97	54.82404522
98	54.72819636
99	54.65964806
100	54.53932259
101	54.44567728
102	54.35034955
103	54.17807176
104	54.11984089
105	54.07653112
106	53.94013413
107	53.85226233
108	53.82064706
109	53.74415438
110	53.67722575
111	53.66407646
112	53.59229445
113	53.55851306
114	53.51000178
115	53.41874052
116	53.3491057
117	53.28868438
118	53.16681256
119	53.13764115
120	53.02960925
121	52.99639041
122	52.88205049
123	52.79009824
124	52.7489329
125	52.66398081
126	52.5747379
127	52.55498893
128	52.47312952
129	52.41451288
130	52.34231505
131	52.28910678
132	52.24337418
133	52.21085129
134	52.18037307
135	52.12064337
136	52.07819499
137	51.99114047
138	51.94104265
139	51.85870078
140	51.82987908
141	51.80039426
142	51.7528225
143	51.70012715
144	51.69070576
145	51.64260233
146	51.62901886
147	51.58549545
148	51.57670738
149	51.50754935
150	51.45776046
151	51.43895397
152	51.36910617
153	51.35907925
154	51.33844071
155	51.29633019
156	51.18995336
157	51.12972343
158	51.12318501
